kurdistan-tv;rtmp://84.244.187.12/live/livestream
zagros-tv;http://198.100.158.231:1935/kanal10/_definst_/livestream/playlist.m3u8
kurdsat-tv;http://198.100.158.231:1935/kanal11/_definst_/livestream/playlist.m3u8
kurdsat-news;http://wpc.C1A9.edgecastcdn.net/hls-live/20C1A9/kurdsat/ls_satlink/b_528.m3u8
rudaw-tv;https://svs.itworkscdn.net/rudawlive/rudawlive.smil/playlist.m3u8
ronahi-tv;http://198.100.158.231:1935/kanal16/_definst_/livestream/list.m3u8
vin-tv;http://95.170.203.140:1213/hls/vinlive.m3u8
nalia-tv;http://prxy-wza-02.iptv-playoutcenter.de/nrt1/nrt1.stream_1/chunklist_w76649285.m3u8
nalia-2-tv;http://prxy-wza-02.iptv-playoutcenter.de/nrt2/nrt2.stream_1/chunklist_w1757825996.m3u8
knn-tv;http://51.254.209.160:1935/live/_definst_/livestream/playlist.m3u8
waar-tv;http://198.100.158.231:1935/kanal2/_definst_/livestream/playlist.m3u8
kanal4;http://198.100.158.231:1935/kanal12/_definst_/livestream/playlist.m3u8
gem-kurd-tv;http://63.237.48.28/ios/GEM_KURD/GEM_KURD.m3u8
kurdmax-tv;rtmp://live.kurdstream.net:1935/liveTrans/_definst_/mp4:myStream_720p
kurdistan24-tv;http://198.100.158.231:1935/kanal30/_definst_/livestream/playlist.m3u8
speda-tv;http://kurd-live.com:1935/live/speda/playlist.m3u8
rega-tv;http://162.244.81.103:1935/RegaTV/myStream/playlist.m3u8
cira-tv;http://62.210.100.139:1935/ciratv/smil:cira.smil/playlist.m3u8
med-nuce-tv;http://63.237.48.23/ios/GEM_KURD/GEM_KURD.m3u8
sterk-tv;http://198.100.158.231:1935/kanal6/_definst_/livestream/playlist.m3u8
newroz-tv;http://198.100.158.231:1935/kanal3/_definst_/livestream/playlist.m3u8
cihan-tv;rtmp://kurd-live.com/live/cihan
badinan-sat-tv;http://cofafrw181.glwiz.com:7777/Badinan.m3u8
korek-tv;http://sat.010e.net:8000/live/milad/milad/1232.m3u8
komala-tv;http://198.100.158.231:1935/kanal8/_definst_/livestream/playlist.m3u8
azadi-tv;http://38.99.146.181:7777/AzadiTV.m3u8
trt-tv;http://trtcanlitv-lh.akamaihd.net/i/TRT6_1@181944/master.m3u8
ZarokTV-Kurmanci;https://zindikurmanci.zaroktv.com.tr/hls/stream.m3u8
ZarokTV-Sorani;https://zindisorani.zaroktv.com.tr/hls/stream.m3u8
